Company Name,District Name,Address,Telephone Number,lat_long,geometry,area,length,po_name,state,zip
A,CENTRAL STN,766 VALLEJO ST,415-315-2400,"(37.7986453192461, -122.4098629092911)",POINT (-122.4098629092911 37.7986453192461),21552448.565,43114.3623601,SAN FRANCISCO,CA,94133
B,SOUTHERN STN,850 BRYANT ST,415-553-1373,"(37.7749888994694, -122.4043283015447)",POINT (-122.4043283015447 37.7749888994694),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
C,BAYVIEW STN,201 WILLIAMS ST,415-671-2300,"(37.7296417183220, -122.3980865549364)",POINT (-122.3980865549364 37.729641718322),136997620.418,114072.475164,SAN FRANCISCO,CA,94124
D,MISSION STN,630 VALLENCIA ST,415-558-5400,"(37.7626807026424, -122.4219696654014)",POINT (-122.4219696654014 37.7626807026424),66887406.7173,41644.5510172,SAN FRANCISCO,CA,94110
E,NORTHERN STN,1125 FILLMORE ST,415-614-3400,"(37.7801611403781, -122.4323904351790)",POINT (-122.432390435179 37.7801611403781),30561656.884,24300.4390242,SAN FRANCISCO,CA,94115
F,PARK STN,1899 WALLER ST,415-242-3000,"(37.7678486242834, -122.4552665971872)",POINT (-122.4552665971872 37.7678486242834),115396029.783,52028.9664001,SAN FRANCISCO,CA,94122
G,RICHMOND STN,461 6TH AV,415-666-8000,"(37.7800012925707, -122.4644607286463)",POINT (-122.4644607286463 37.7800012925707),46128646.0967,31063.6615541,SAN FRANCISCO,CA,94118
H,INGLESIDE STN,1 JOHN YOUNG LN,415-404-4000,"(37.7247701343562, -122.4462510450206)",POINT (-122.4462510450206 37.7247701343562),92226023.9877,57996.3187634,SAN FRANCISCO,CA,94112
I,TARAVAL STN,2345 24TH AV,415-759-3100,"(37.7437337946250, -122.4814607671523)",POINT (-122.4814607671523 37.743733794625),73713578.4373,42635.9553171,SAN FRANCISCO,CA,94116
J,TENDERLOIN STN,301 EDDY ST,415-345-7300,"(37.7837040581307, -122.4128957522243)",POINT (-122.4128957522243 37.7837040581307),18740654.0256,23624.3085968,SAN FRANCISCO,CA,94102
